Crop ID,Date,Year,State,District,Season,Crop Name,Area (Hectares),Production (Tonnes),Yield (Kg/Ha),Irrigation Type,Fertilizer Type,Fertilizer Used (Kg),Rainfall (mm),Soil Type,Temperature (Celsius)
CID1,2010-04-03,2010,Uttar Pradesh,Lucknow,Zaid,Maize,25.24,46.37,1837.23,Canal,Urea,219.17,1092.18,Black,28.86
CID2,2013-04-11,2013,Punjab,Ludhiana,Zaid,Pulses,3.63,7.96,2193.03,Drip,Compost,105.11,789.27,Black,31.38
CID3,2012-10-16,2012,Maharashtra,Pune,Kharif,Maize,11.12,36.47,3279.56,Rainfed,Urea,261.87,803.73,Black,30.95
CID4,2018-11-21,2018,Karnataka,Bangalore,Rabi,Cotton,62.23,383.97,6170.24,Borewell,DAP,226.14,245.82,Red,31.6
CID5,2016-12-14,2016,West Bengal,Kolkata,Rabi,Sugarcane,63.93,203.87,3188.99,Rainfed,Vermicompost,138.82,870.18,Black,29.14
CID6,2012-11-09,2012,Uttar Pradesh,Lucknow,Rabi,Sugarcane,27.72,181.63,6552.35,Borewell,NPK,221.15,1042.85,Black,23.44
CID7,2011-07-06,2011,Karnataka,Mysore,Kharif,Pulses,87.76,253.46,2888.07,Drip,DAP,148.91,1114.55,Laterite,22.14
CID8,2018-11-24,2018,Uttar Pradesh,Varanasi,Rabi,Cotton,58.87,376.0,6386.94,Drip,Urea,140.5,1197.33,Red,27.64
CID9,2012-05-06,2012,West Bengal,Kolkata,Zaid,Rice,79.42,280.59,3532.96,Canal,Urea,146.19,795.89,Laterite,27.94
CID10,2011-05-17,2011,Uttar Pradesh,Varanasi,Zaid,Pulses,75.34,422.78,5611.59,Rainfed,NPK,77.89,634.77,Laterite,20.05
CID11,2018-10-14,2018,Bihar,Patna,Kharif,Cotton,30.55,147.67,4833.7,Borewell,Urea,88.21,962.51,Sandy,34.3
CID12,2017-06-22,2017,Bihar,Gaya,Kharif,Wheat,92.98,583.2,6272.33,Rainfed,Compost,109.86,440.87,Sandy,34.2
CID13,2022-05-30,2022,West Bengal,Kolkata,Zaid,Rice,13.71,52.81,3851.69,Borewell,Vermicompost,116.26,1072.43,Laterite,34.47
CID14,2021-06-17,2021,West Bengal,Darjeeling,Kharif,Cotton,31.86,222.09,6970.9,Rainfed,NPK,159.53,717.58,Black,23.72
CID15,2018-07-31,2018,Punjab,Patiala,Kharif,Pulses,22.8,32.51,1425.96,Canal,NPK,107.24,1105.42,Alluvial,21.06
CID16,2013-04-07,2013,Uttar Pradesh,Kanpur,Zaid,Rice,72.61,457.03,6294.3,Drip,Compost,110.75,672.97,Laterite,22.86
CID17,2016-12-19,2016,Maharashtra,Pune,Rabi,Cotton,6.36,31.3,4920.73,Canal,Vermicompost,65.15,928.21,Black,23.73
CID18,2016-10-17,2016,Karnataka,Bangalore,Kharif,Maize,46.8,292.36,6246.92,Canal,Urea,160.78,1061.35,Sandy,21.47
CID19,2013-02-25,2012,Punjab,Ludhiana,Rabi,Sugarcane,48.65,301.04,6187.9,Canal,NPK,91.16,202.16,Laterite,23.98
